                  , index=1  ,ic, index=2    ,ic, index=3   ,ic, index=4 ,ic, index=5  ,ic
confirmedMode,10.333,0.540,54.133,1.993,40.867,0.986,32.800,0.875,3904.133,341.678
noConfirmedMode,1.133,0.046,1.000,0.010,1.133,0.046,1.133,0.046,1.067,0.034
retransmissionMode,1.067,0.034,1.000,0.010,1.467,0.177,1.200,0.054,39.267,3.910
