"nodes"		"Unconfirmed mode"		ci   		"Retrasmission mode" 		ci   		"Confirmed mode"	ci   
1		1.15				0.03			4.4 			1.19	    		15.55		0.93
2		1 				0.01			1.75 			0.27			2.85 		0.22
3		1.15				0.03			1.4			0.09			2.1	 	0.13
4		1.05				0.01			1.2 			0.03			7.5 		0.16
5		1.05				0.01			1			0.01			18.6		0.28
