                 ," [0,30)     "," [30,60)    "," [60,90)    "," [90,120) "," [120,150)  "," [150,180) "," [180,210)  "," [210,240)  "," [240,270) "," [270,300) "," [300,330) "," [330,360) "," [360,390) "," [390,420) "," [420,450) "," [450,480)  "," [480,510) "," [510,540) "," [540,570) "," [570,600) "," [600,630) "," [630,660) "," [660,690) "," [690,720) "," [720,750) "," [750,780) "," [780,810) "," [810,840) "," [840,870) "," [870,900) "," [900,inf) "
 confirmedMode   ,5074.93333,3830.13333,14.86667,271,2971.33333,10361.8,92.86667,77.33333,68.86667,13.26667,16.26667,159.13333,28.93333,3,69.6,1167.26667,82.86667,4.46667,10.4,3.13333,0.46667,2.93333,15,0.26667,0.53333,13.66667,115.2,1.6,0.26667,0.8,18.06667
 noConfirmedMode ,16312.4,3846.46667,3901.86667,3857.6,5342.33333,5357.6,3855.13333,3878.06667,1770.6,456.26667,570.46667,358.2,348.8,358.46667,368.4,631.4,357.8,347.86667,371.93333,60.53333,51.86667,52.6,35.33333,35.86667,36.33333,42.6,59.46667,35.26667,36.06667,25.66667,46.06667
" retries=4,timeout=0.4  ",1897.93333,2258.6,7081.46667,156.53333,5989.73333,27993.6,18.93333,92.4,46.73333,1.26667,132.86667,30.73333,66.26667,654.8,7.93333,3162.33333,190.8,0.8,11.06667,0.73333,0.66667,13.73333,0.4,50.86667,27.86667,3.93333,325.93333,0.2,0,0.66667,48.06667
