                  , index=1  ,ic, index=2    ,ic, index=3   ,ic, index=4 ,ic, index=5  ,ic
confirmedMode,80.067,1.696,3034.667,6.743,261.867,3.452,340.333,2.585,27922.000,2445.366
noConfirmedMode,6.400,0.138,6.000,0.010,6.333,0.145,6.333,0.213,4.867,0.147
retransmissionMode,53.267,0.135,2875.867,0.046,140.867,5.062,246.200,0.054,41491.400,15.001
