                  , index=1  ,%,ic,%, index=2    ,%,ic,%, index=3   ,%,ic,%, index=4 ,%,ic,%, index=5  ,%,ic,%
 noTimePeriodMode ,10.000,85.714,0.100,1.000,10.000,90.909,0.000,0.000,10.067,79.474,0.034,0.335,10.067,88.304,0.100,0.993,10.067,84.831,0.034,0.335
 singleMode       ,1.000,100.000,0.000,0.000,0.933,93.333,0.034,3.615,0.867,86.667,0.046,5.305,1.000,100.000,0.000,0.000,1.000,100.000,0.000,0.000
 timePeriodMode   ,19.733,85.797,0.323,1.635,1426.400,99.056,0.990,0.069,61.533,86.585,0.378,0.614,110.067,91.722,7.718,7.012,24459.800,90.592,16.787,0.069
