                  , index=1  ,ic, index=2    ,ic, index=3   ,ic, index=4 ,ic, index=5  ,ic
noTimePeriodMode,10.133,0.109,9.933,0.034,11.000,0.284,10.533,0.226,10.000,0.000
singleMode,9.000,0.300,8.533,0.226,7.667,0.064,8.533,0.226,8.133,0.147
timePeriodMode,8.067,0.115,8.000,0.000,8.400,0.220,8.200,0.101,8.000,0.000
