                  , index=1  ,ic, index=2    ,ic, index=3   ,ic, index=4 ,ic, index=5  ,ic
noTimePeriodMode,1.067,0.034,1.000,0.000,1.200,0.054,1.133,0.046,1.000,0.000
singleMode,1.200,0.054,1.133,0.046,1.000,0.000,1.133,0.046,1.067,0.034
timePeriodMode,1.067,0.034,1.000,0.000,1.133,0.046,1.067,0.034,1.000,0.000
