                  ," [0,30)   "," [30,60) "," [60,90) "," [90,120) "," [120,150)  "," [150,180) "," [180,210)  "," [210,240) "," [240,270) "," [270,300) "," [300,330) "," [330,360) "," [360,390) "," [390,420) "," [420,450) "," [450,480) "," [480,510) "," [510,540) "," [540,570) "," [570,600) "," [600,630) "," [630,660) "," [660,690) "," [690,720) "," [720,750) "," [750,780) "," [780,810) "," [810,840) "," [840,870) "," [870,900) "," [900,inf) "
 noTimePeriodMode ,38.86667,2.66667,2.6,5.06667,6,3.93333,2.73333,3.13333,2.93333,0.66667,0.4,0.4,0.13333,0.26667,0.4,0.4,0.2,0.13333,0.06667,0,0,0,0,0,0.06667,0.06667,0,0,0,0,0
 singleMode       ,21.66667,0.2,0,0,0.13333,0,0.06667,0.06667,2.46667,0.33333,0.06667,0,0,0,0,0,0,0,0.13333,0.13333,0,0.06667,0,0,0,0,0,0,0,0,0
 timePeriodMode   ,8110.2,1956.4,1983,2713.2,2676.33333,1847.8,1933.13333,1986.2,982.73333,242.93333,181.93333,175.06667,181.66667,213.86667,219.2,237.53333,169.73333,180.53333,179.53333,36.26667,23.6,17.53333,17,16.86667,24.53333,22.93333,18.6,18.86667,17,13.2,21.4
